Name,Heart,Score,Genre,Status,Episode
Strawberry Seafoam,1.1M,9.29,Drama,SATURDAY,82
Lore Olympus,8.4M,9.79,Romance,SUNDAY,72
Castle Swimmer,2.2M,9.88,Fantasy,SUNDAY,31
My Dear Cold-Blooded King,6.9M,9.77,Romance,SUNDAY,115
Lookism,15.9M,9.83,Drama,SUNDAY,240
The Fever King,"144,615",9.73,Fantasy,SUNDAY,6
Gourmet Hound,6.1M,9.77,Drama,SUNDAY,135
Blood-Ink,"946,504",9.7,Action,SUNDAY,35
Seed,"893,070",9.76,Sci-fi,SUNDAY,34
Tales of the Unusual,2.9M,9.61,Thriller,SUNDAY,261
Cheese in the Trap,4.3M,9.7,Romance,SUNDAY,268
HAPI BUNI,1.7M,9.44,Comedy,SUNDAY,242
Varsity Noir,"45,640",9.07,Drama,SUNDAY,15
Magician,1.3M,9.73,Fantasy,SUNDAY,484
New Normal: Class 8,1.5M,9.53,Comedy,SUNDAY,246
Freaking Romance,2.6M,9.85,Romance,SUNDAY,22
LUMINE,7.5M,9.82,Drama,SUNDAY,77
Shriek,"237,733",9.77,Thriller,COMPLETED,17
Lorna,"291,008",8.31,Slice of life,COMPLETED,65
Your Letter,"679,723",9.94,Drama,COMPLETED,12
Unknown Caller,"79,553",9.53,Thriller,COMPLETED,3
Faust,"383,995",7.81,Fantasy,COMPLETED,124
Sithrah,"206,163",9.44,Fantasy,COMPLETED,97
Cyberforce,"37,901",7.87,Superhero,COMPLETED,92
New Life Project,"41,863",8.37,Comedy,COMPLETED,53
Chiller,"447,899",9.57,Thriller,COMPLETED,37
SHADOW,"95,367",9.41,Fantasy,COMPLETED,12
Westwood Vibrato,"130,714",9.66,Drama,COMPLETED,71
Jingle Jungle,"35,816",8.87,Slice of life,COMPLETED,101
Kids Are All Right,"182,027",9.7,Drama,COMPLETED,56
Warning Label,"368,198",8.9,Romance,COMPLETED,40
Ghost Teller,1.5M,9.86,Horror,COMPLETED,39
Girls Have a Blog,"634,018",9.17,Slice of life,COMPLETED,84
Brutally Honest,"803,880",9.47,Comedy,COMPLETED,80
Star Wars,"82,116",9.55,Sci-fi,COMPLETED,40
Live Forever,"639,542",9.34,Drama,COMPLETED,53
DEAD DAYS,"285,773",9.66,Thriller,COMPLETED,62
A Bittersweet Life,"275,813",9.31,Slice of life,COMPLETED,161
The Vault of Horror: A Collection of Nightmares,"151,019",8.97,Thriller,COMPLETED,23
Oh! Holy,5.9M,9.69,Romance,COMPLETED,141
Always Human,1.4M,9.5,Romance,COMPLETED,87
The Brooklynite,"23,644",9.04,Superhero,COMPLETED,26
Haxor,"156,628",9.12,Drama,COMPLETED,37
Smile Brush: My Old Pictures,"256,184",9.67,Slice of life,COMPLETED,55
Pacific Rim: Amara,"68,156",9.27,Sci-fi,COMPLETED,10
Cyko-KO,"5,340",7.56,Comedy,COMPLETED,26
Heroine Chic,"748,968",8.96,Drama,COMPLETED,85
Hello World!,"154,297",9.12,Slice of life,COMPLETED,132
Moon You,"522,982",9.7,Sci-fi,COMPLETED,67
HIVE,1.7M,9.67,Thriller,COMPLETED,243
Knight Run,"108,802",9.29,Fantasy,COMPLETED,170
Immortal Nerd,"140,924",7.87,Comedy,COMPLETED,113
Spirits,"85,678",9.07,Fantasy,COMPLETED,35
10th Dimension Boys,"419,055",9.34,Comedy,COMPLETED,119
SOUL CARTEL,"840,699",9.7,Fantasy,COMPLETED,224
THE GIRL FROM CLASS,"186,369",9.45,Drama,COMPLETED,28
BuzzFeed Comics,"748,209",5.73,Comedy,COMPLETED,426
Salty Studio,"642,664",9.68,Romance,COMPLETED,66
Distant Sky,"297,465",9.54,Thriller,COMPLETED,53
Aisopos,"180,706",9.7,Drama,COMPLETED,130
Annarasumanara,"348,412",9.72,Drama,COMPLETED,28
unTouchable,3.6M,9.7,Romance,COMPLETED,142
The Cliff,"44,012",9.26,Thriller,COMPLETED,9
Gepetto,"425,913",9.77,Sci-fi,COMPLETED,161
About Death,"201,035",9.84,Drama,COMPLETED,28
April Flowers,1.1M,9.52,Fantasy,COMPLETED,40
Trump,"924,294",9.57,Fantasy,COMPLETED,255
FAMILY MAN,"74,294",9.68,Drama,COMPLETED,42
Penguin Loves Mev,"295,523",9.33,Slice of life,COMPLETED,341
Noblesse,10.9M,9.77,Fantasy,COMPLETED,545
Winter Woods,2.4M,9.81,Romance,COMPLETED,129
LESSA,"346,505",9.72,Fantasy,COMPLETED,58
Magical 12th Graders,"372,720",9.3,Fantasy,COMPLETED,143
God of Bath,"150,476",9.52,Comedy,COMPLETED,30
SIDEKICKS,"467,536",9.43,Superhero,COMPLETED,131
Ecstasy Hearts,3.4M,9.07,Romance,COMPLETED,101
Girls of the Wild's,4.4M,9.59,Action,COMPLETED,264
For the Sake of Sita,"210,080",9.54,Romance,COMPLETED,14
Smile Brush,"297,114",9.56,Slice of life,COMPLETED,36
Subtle Disaster,"108,890",9.36,Drama,COMPLETED,45
The Stories of Those around Me,"510,381",9.65,Romance,COMPLETED,60
Noblesse: Rai's Adventure,"164,290",9.84,Fantasy,COMPLETED,10
ORANGE MARMALADE,3.2M,9.69,Romance,COMPLETED,120
Epic V,"13,616",5.66,Comedy,COMPLETED,27
Cluster Fudge,"191,849",8.48,Slice of life,COMPLETED,228
Athena Complex,1.5M,9.59,Fantasy,COMPLETED,105
Flow,1.6M,9.77,Fantasy,COMPLETED,104
Jackie Rose,"167,571",9.59,Action,COMPLETED,58
Lars,"250,870",8.49,Slice of life,COMPLETED,234
Nightmare Factory,2.1M,9.49,Fantasy,COMPLETED,77
Witch Hunt,"591,841",9.53,Drama,COMPLETED,88
DEEP,"108,183",9.15,Thriller,COMPLETED,45
Midnight Rhapsody : Season 2,"74,353",8.87,Slice of life,COMPLETED,81
Cooking Comically,"220,136",9.61,Slice of life,COMPLETED,108
Guardians of the Video Game,"182,348",9.01,Fantasy,COMPLETED,176
Aura from Another Planet,"188,201",9.23,Comedy,COMPLETED,100
Duty after School,"182,402",9.67,Drama,COMPLETED,50
Dr. Frost,1.1M,9.77,Drama,COMPLETED,122
Midnight Rhapsody,"85,556",9.15,Slice of life,COMPLETED,38
Supersonic Girl,"488,522",9.13,Superhero,COMPLETED,69
3-Second Strip,"583,837",8.5,Comedy,COMPLETED,503
Helios:Femina,"244,244",8.7,Fantasy,COMPLETED,35
RANDOMPHILIA,"947,288",9.41,Comedy,COMPLETED,314
Snailogy,1.6M,9.41,Slice of life,COMPLETED,123
The Red Hook,"34,660",8.26,Superhero,COMPLETED,27
Friday: Forbidden Tales,"248,258",9.08,Thriller,COMPLETED,97
BOO! It's Sex,3.1M,8.85,Slice of life,COMPLETED,97
The Life of the Three Bears,"36,938",8.9,Slice of life,COMPLETED,51
2015: Space Series,"42,957",9.26,Sci-fi,COMPLETED,14
The DaneMen,"367,411",9.06,Comedy,COMPLETED,271
Catharsis,2.1M,9.57,Fantasy,COMPLETED,183
Roar Street Journal,"859,151",9.64,Slice of life,COMPLETED,309
ShootAround,"993,554",9.66,Drama,COMPLETED,143
Average Adventures of an Average Girl,"526,911",9.27,Slice of life,COMPLETED,170
Just Ask Yuli,"21,067",7.56,Slice of life,COMPLETED,25
All That You Are,"61,809",9.22,Drama,COMPLETED,63
Kind of Confidential,2.1M,9.29,Romance,COMPLETED,67
Dragnarok: Descendants,"279,514",9.31,Fantasy,COMPLETED,30
Super Secret,8.6M,9.83,Romance,COMPLETED,143
Illusions of Adulting,"127,759",5.92,Drama,COMPLETED,48
Dents,"726,079",9.48,Sci-fi,COMPLETED,79
My Boo,2.1M,9.77,Drama,COMPLETED,47
Nicholalala,"168,910",9.0,Slice of life,COMPLETED,155
Inarime,"86,929",8.82,Fantasy,COMPLETED,71
Polidiocy,"64,789",7.28,Comedy,COMPLETED,96
Where Tangents Meet,1.7M,9.75,Romance,COMPLETED,44
Davinchibi,"65,382",8.85,Drama,COMPLETED,8
MercWorks,"379,117",9.12,Comedy,COMPLETED,150
Aphrodite IX,"119,024",8.74,Sci-fi,COMPLETED,33
Tickle Town,"94,340",6.61,Comedy,COMPLETED,180
The Strange Tales of Oscar Zahn,"782,415",9.76,Fantasy,COMPLETED,105
Have You Any Fear?,"119,262",8.54,Horror,COMPLETED,10
Shadow Pirates,"41,517",9.27,Fantasy,COMPLETED,17
Under the Aegis,"382,253",9.74,Fantasy,COMPLETED,93
Eat Fighter,"54,130",5.56,Comedy,COMPLETED,26
1111 Animals,"204,132",8.89,Comedy,COMPLETED,110
Caster,"61,486",9.02,Action,COMPLETED,30
My Kitty and Old Dog,"712,942",9.64,Slice of life,COMPLETED,213
Hellper,"413,079",9.73,Action,COMPLETED,189
Nano List,2.3M,9.82,Sci-fi,COMPLETED,147
The Badguys,"211,949",9.44,Superhero,COMPLETED,73
Shard,"700,841",9.3,Drama,COMPLETED,80
CARL,3M,9.76,Comedy,COMPLETED,150
1000,"64,819",9.09,Action,COMPLETED,20
Alice Elise,"115,564",9.02,Fantasy,COMPLETED,24
Ghosts Among the Wild Flowers,"338,017",9.56,Fantasy,COMPLETED,87
Cyberbunk,"95,110",8.56,Sci-fi,COMPLETED,194
The Red Book,"167,197",8.79,Thriller,COMPLETED,26
The Purple Heart,"34,197",9.09,Superhero,COMPLETED,26
UndeadEd,"637,175",9.68,Comedy,COMPLETED,120
The Gentleman’s Armchair,"245,758",8.9,Comedy,COMPLETED,142
All That We Hope to Be,"126,165",9.46,Slice of life,COMPLETED,176
MOONBEARD,"353,365",9.26,Comedy,COMPLETED,147
How to Love,"492,709",9.49,Slice of life,COMPLETED,100
Trash Bird,"923,013",9.53,Comedy,COMPLETED,174
Power Ballad,"79,887",9.08,Drama,COMPLETED,26
Library Ghost,"195,815",8.77,Slice of life,COMPLETED,75
